쓰리스타,IT,39247,최상,하락,2437714,1113770,3525645,896841,2638804,-5865,-13
OKT,IT,24229,최상,하락,243421,11511,340612,188743,151869,-1010,-4
FAKER,IT,167807,최상,하락,177743,159103,446116,217880,228235,-16597,-9
LB I+,IT,12145,최상,하락,123819,89442,179410,105914,73496,899,8
넥슬라이스,IT,1868,우수,정지,9468,4204,25348,2173,23175,154,9
NO24,IT,6077,양호,상승,5330,1143,2399,1755,644,-188,-3
동문서답식품,식품,19598,우수,하락,15476,6327,13326,2674,10651,194,1
공주식품,식품,1248,우수,하락,2443,722,1652,552,1100,113,10
오뚝이,식품,496094,최상,하락,23596,4084,21521,8056,13464,9727,2
농가의마음,식품,331750,최상,상승,23439,7179,26530,7123,19407,3284,1
청정제당,식품,279901,최상,하락,223524,42831,262806,167991,94814,2771,1
L0TT2 FOOD,식품,369889,최상,하락,17880,3002,13211,6136,7075,-3737,-1
KYA,교통,26117,최상,상승,581459,93793,553447,263666,289781,0,0
대현자동차,교통,121786,최상,정지,1057464,176550,1945122,1181464,763657,32237,36
Double Dragon,교통,1557,보통,상승,36238,2675,20192,16160,4031,0,0
그모타이어,교통,3003,양호,정지,25586,3881,42147,28017,14129,29,1
목센타이어,교통,5595,우수,하락,20223,6166,34360,18781,15579,-57,-1
HK 타이어,교통,21963,최상,하락,68832,19221,101646,29773,71872,844,4
MS 엔터테인먼트,엔터테인먼트,29697,우수,정지,6578,2156,11156,4828,6327,3873,15
스튜디오 D,엔터테인먼트,60562,우수,상승,4686,478,5815,1533,4282,0,0
대현 HCN,엔터테인먼트,4790,최상,하락,2928,1076,8134,720,7414,47,1
스카이라이브,엔터테인먼트,9127,최상,하락,6946,4972,8482,1428,7054,0,0
JYM 엔터테인먼트,엔터테인먼트,25438,우수,상승,1554,760,2078,454,1623,251,1
OLD,엔터테인먼트,3672,보통,하락,1491,283,3133,1914,1218,-38,-1
광서제약,제약&바이오,7362,우수,상승,12382,2586,7927,3453,4474,669,10
월동제약,제약&바이오,11935,우수,상승,5174,2323,6127,3598,2528,-1784,-13
횡근당,제약&바이오,122209,우수,상승,10793,4042,8073,3263,4749,9052,8
빅베어,제약&바이오,83191,우수,하락,11134,4782,12456,6097,6359,-841,-1
N.01MED,제약&바이오,44011,양호,상승,6714,1519,4015,2315,1700,-2317,-5
그린크로쓰,제약&바이오,143876,최상,하락,13697,3723,19593,7752,11840,-2937,-2
스타크인더스트리,의류,36414,우수,상승,44071,11311,52931,31667,21263,0,0
TNC,의류,155820,우수,정지,59831,5638,32243,26413,5829,0,0
13실업,의류,10287,보통,상승,19224,4017,11794,7244,4550,-542,-5
퍼시픽,의류,2259,보통,하락,9716,1725,6133,4289,1843,0,0
BANYC,의류,238733,우수,상승,1705,694,6938,2595,4343,-4873,-2
SL산업,의류,904383,최상,상승,29180,10183,43571,8733,34838,0,0
ThisMart,유통,103683,최상,상승,190628,48924,210947,108880,102067,-7805,-7
배고파리테일,유통,3682,우수,상승,59460,10565,21724,15498,6225,-365,-9
신식세계,유통,247374,최상,하락,63942,32682,130184,75033,55151,2449,1
한천,유통,99735,최상,상승,16983,4735,12026,5893,6132,7387,8
빌딩신라,유통,74277,최상,하락,57173,24166,35272,26077,9195,-1516,-2
감성리테일,유통,36437,최상,상승,90069,19240,70548,45040,25508,0,0
아리아나항공,여행&항공,3952,양호,상승,69657,2770,135034,125951,9082,39,1
재주항공,여행&항공,18017,양호,상승,13839,1366,14675,11423,3251,-182,-1
세컨드투어,여행&항공,38589,우수,정지,7631,5755,10075,7896,2178,-1194,-3
YP리조트,여행&항공,4124,양호,하락,1294,132,8499,4541,3957,40,1
PWAY항공,여행&항공,3360,양호,정지,8104,550,8077,6188,1888,33,1
K-Air,여행&항공,13797,양호,상승,12683,15440,270141,242333,27807,-3892,-22
소일오일,에너지&화학,66124,최상,하락,243941,10473,163334,98367,64966,654,1
HanWa,에너지&화학,19107,우수,상승,504123,37530,1822861,1640222,182639,189,1
코브라,에너지&화학,3622,우수,상승,1828,241,1564,472,1091,-37,-1
KJ화학,에너지&화학,9336,양호,하락,1087,790,1208,274,934,528,6
삼천만큼,에너지&화학,75093,최상,상승,34616,3626,39123,25194,13929,-759,-1
기여도도시가스,에너지&화학,34953,우수,하락,14218,1110,7474,4097,3377,346,1
우대건설,건설,3381,우수,하락,86518,8550,96976,72094,24882,-376,-10
기룡건설산업,건설,16329,양호,상승,22757,2375,20067,15040,5026,-334,-2
OneWln,건설,5070,미흡,상승,16287,1774,24702,22252,2449,-758,-13
머림산업,건설,71903,최상,하락,97000,16575,134452,67085,67367,711,1
POSKO,건설,156880,우수,정지,76502,5221,66686,38497,28188,-15516,-9
CKK건설,건설,5322,우수,하락,16425,1220,10391,6616,3775,-222,-4
